               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.022719,            0.012853,           0.0037119,             0.85852,             0.81541,             0.85539,              0.6251,            0.028012,           0.0086192,           0.0064863,           0.0072874,           0.0072874,           0.0072874
                 139,            0.023562,            0.013079,           0.0038728,             0.86604,             0.80259,             0.85599,             0.62088,             0.02839,           0.0088297,           0.0066967,           0.0072676,           0.0072676,           0.0072676
                 140,            0.022758,            0.013184,           0.0034986,             0.84003,             0.84325,             0.86847,              0.6172,            0.028842,           0.0085939,           0.0057454,           0.0072478,           0.0072478,           0.0072478
                 141,            0.023617,            0.013426,           0.0033963,             0.84844,             0.79018,             0.84752,             0.61361,            0.028653,           0.0087937,            0.011192,            0.007228,            0.007228,            0.007228
                 142,            0.023054,            0.013116,           0.0036443,             0.81228,             0.85171,             0.86607,             0.62022,            0.028291,            0.008507,           0.0090911,           0.0072082,           0.0072082,           0.0072082
                 143,            0.023134,            0.013109,           0.0037889,             0.84743,             0.79063,             0.84803,             0.61027,            0.028638,           0.0090406,           0.0084834,           0.0071884,           0.0071884,           0.0071884
                 144,            0.023549,            0.012953,           0.0041376,             0.88702,             0.78697,              0.8714,             0.62214,            0.028497,           0.0087479,            0.006764,           0.0071686,           0.0071686,           0.0071686
                 145,            0.023587,            0.013046,           0.0041215,             0.80222,              0.8653,             0.87639,             0.63277,            0.028481,           0.0085651,           0.0076846,           0.0071488,           0.0071488,           0.0071488
                 146,            0.022988,            0.013125,           0.0039621,             0.81795,              0.8118,             0.85917,             0.62073,            0.028869,           0.0088137,           0.0082599,            0.007129,            0.007129,            0.007129
                 147,            0.023237,            0.013237,           0.0043314,             0.80304,             0.84179,             0.86431,              0.6203,            0.028266,           0.0087065,           0.0081187,           0.0071092,           0.0071092,           0.0071092
                 148,            0.023743,            0.013174,           0.0039206,             0.83964,             0.84035,             0.85996,             0.62528,            0.028545,           0.0089707,           0.0051092,           0.0070894,           0.0070894,           0.0070894
                 149,            0.023358,            0.013299,           0.0041774,             0.85067,             0.82041,             0.86882,             0.62047,            0.028141,            0.008629,            0.006384,           0.0070696,           0.0070696,           0.0070696
                 150,            0.023486,            0.013463,           0.0043914,             0.88017,             0.80155,             0.85971,             0.62227,            0.027981,            0.008535,           0.0062381,           0.0070498,           0.0070498,           0.0070498
                 151,            0.024134,            0.013128,           0.0041007,             0.80513,             0.85029,             0.85059,              0.6204,            0.028394,           0.0086667,           0.0062035,             0.00703,             0.00703,             0.00703
